        SRCID      OBS_ID                   RA                  DEC       EP_8_CTS             NAME
            J         10A                    D                    D              E              15A
                                           deg                  deg          count                 
         7284  0305860401   1.368861191005E+01  -3.769611144277E+01   2.962730E+02          NGC 300
         7284  0112800101   1.368827601020E+01  -3.769616743895E+01   7.368070E+02          NGC 300
         7284  0112800201   1.368853418853E+01  -3.769605021352E+01   5.129060E+02          NGC 300
         7284  0656780401   1.368800305261E+01  -3.769633198055E+01   1.727790E+02          NGC 300
       131929  0656780401   1.369550323234E+01  -3.755252670925E+01   4.386940E+01          NGC 300
        23769  0305860301   1.369652690822E+01  -3.780708813919E+01   4.545940E+01          NGC 300
        23769  0112800101   1.369666966667E+01  -3.780749436722E+01   7.064130E+01          NGC 300
        23769  0112800201   1.369776942097E+01  -3.780694850200E+01   5.887710E+01          NGC 300
        13868  0112800101   1.369863877257E+01  -3.754952468536E+01   7.954050E+01          NGC 300
        11175  0305860301   1.370030436178E+01  -3.778269866458E+01   2.196540E+02          NGC 300
        11175  0305860401   1.370013640555E+01  -3.778272822677E+01   1.174370E+02          NGC 300
        11175  0112800101   1.370063049238E+01  -3.778268344825E+01   2.379180E+02          NGC 300
        11175  0112800201   1.369998515569E+01  -3.778250358392E+01   1.622320E+02          NGC 300
         7590  0305860301   1.370065626568E+01  -3.776082863240E+01   2.080550E+02          NGC 300
         7590  0305860401   1.370072009056E+01  -3.776079418553E+01   1.593340E+02          NGC 300
         7590  0112800101   1.370069666963E+01  -3.776114237199E+01   2.927410E+02          NGC 300
         7590  0112800201   1.370075641966E+01  -3.776064824881E+01   2.177310E+02          NGC 300
         7590  0656780401   1.370057935037E+01  -3.776140223123E+01   1.079660E+02          NGC 300
         7231  0305860301   1.370736980501E+01  -3.766642541590E+01   4.126730E+02          NGC 300
         7231  0305860401   1.370717774318E+01  -3.766650625794E+01   2.547570E+02          NGC 300
         7231  0112800101   1.370711104944E+01  -3.766669189387E+01   3.521370E+02          NGC 300
         7231  0112800201   1.370716916411E+01  -3.766672408930E+01   2.770170E+02          NGC 300
         7231  0656780401   1.370678663645E+01  -3.766654402624E+01   1.468700E+02          NGC 300
         7115  0305860301   1.370998005568E+01  -3.764709756239E+01   7.887510E+02          NGC 300
         7115  0305860401   1.370978170733E+01  -3.764721268279E+01   3.396770E+02          NGC 300
         7115  0112800101   1.370957704947E+01  -3.764721788764E+01   1.968180E+03          NGC 300
         7115  0112800201   1.370980322560E+01  -3.764698298176E+01   1.830440E+03          NGC 300
         7115  0656780401   1.370954752163E+01  -3.764705489592E+01   3.713860E+02          NGC 300
         7835  0305860301   1.371040615810E+01  -3.776679244296E+01   1.358690E+02          NGC 300
         7835  0305860401   1.371027996152E+01  -3.776654533165E+01   7.560370E+01          NGC 300
         7835  0112800101   1.371071802355E+01  -3.776716414836E+01   1.826570E+02          NGC 300
         7835  0112800201   1.371085933768E+01  -3.776656476745E+01   1.666980E+02          NGC 300
         7835  0656780401   1.371040570887E+01  -3.776722647028E+01   6.619110E+01          NGC 300
        11445  0305860301   1.371138475415E+01  -3.769135099889E+01   1.663970E+02          NGC 300
        11445  0305860401   1.371051158304E+01  -3.769085129284E+01   1.049990E+02          NGC 300
        11445  0112800101   1.371082342122E+01  -3.769096458869E+01   2.173020E+02          NGC 300
        11445  0112800201   1.371091750816E+01  -3.769096982412E+01   1.389590E+02          NGC 300
        20000  0305860401   1.371528524383E+01  -3.759313992749E+01   6.045290E+01          NGC 300
        20000  0112800101   1.371464157443E+01  -3.759302814474E+01   1.335570E+02          NGC 300
        20000  0112800201   1.371459132901E+01  -3.759303645397E+01   1.015480E+02          NGC 300
       132123  0112800201   1.371618149356E+01  -3.778534526034E+01   9.549520E+01          NGC 300
        44030  0112800101   1.372197972374E+01  -3.769110339542E+01   1.186180E+02          NGC 300
        44030  0112800201   1.372180939624E+01  -3.769059842748E+01   1.271830E+02          NGC 300
        42279  0112800101   1.372190247836E+01  -3.771991500642E+01   1.086050E+02          NGC 300
        42279  0112800201   1.372239202215E+01  -3.771974615047E+01   5.255140E+01          NGC 300
       132132  0305860301   1.372230359175E+01  -3.774408181966E+01   7.350280E+01          NGC 300
        12774  0305860301   1.372188103332E+01  -3.767505973995E+01   9.379310E+01          NGC 300
        12774  0305860401   1.372305188267E+01  -3.767431150564E+01   5.253580E+01          NGC 300
        12774  0112800101   1.372299047607E+01  -3.767461681454E+01   6.487910E+01          NGC 300
        12774  0112800201   1.372255632803E+01  -3.767465372917E+01   6.268210E+01          NGC 300
        28835  0305860301   1.372946891201E+01  -3.768813651287E+01   1.924800E+03          NGC 300
        28835  0305860401   1.372945587713E+01  -3.768799858798E+01   2.077040E+03          NGC 300
